Item Id,Cert Number,Stock Num,Shape,Carat,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales,Measurements,Ratio,Table,Depth,Key To Symbol,Cert Comments,BIC,BIS,WIS,WIC,OT,OC,OP,Crown Angle,Crown Height,Pav Angle,Pav Depth,Carat Range,Location,Broad Count,Turn,Overhang,Needs,Needs/Surplus,Grouped Needs
14900401,2516571392,41082-75,Round,2.75,D,VVS1,EX,EX,EX,None,GIA,None,None,27500,75625,-21,21725,59745,3,3,7,1,1,1,9.01 x 8.96 x 5.49,1.01,59,61.1,cloud,-,None,None,Light,None,None,None,None,33.5,13.5,41.2,43.5,2.70-2.99,India,32,0.8,543.9,-0.5,,1
14767824,2517510369,41102-4,Round,2.73,F,VS1,EX,EX,EX,None,GIA,None,None,17500,47775,-22,13650,37265,60,2,3,1,0,0,8.92 x 8.87 x 5.57,1.01,57,62.6,"crystal, cloud, needle","Additional clouds, pinpoints and surface graining are not shown.",None,V Light,Light,Light,None,None,None,36.5,16,40.8,43,2.70-2.99,India,146,0,59.9,-1,surplus,-1
14767827,2516492187,41101-2,Round,2.51,D,VVS2,EX,EX,EX,None,GIA,None,None,23500,58985,-26,17390,43650,60,2,6,1,0,0,8.67 x 8.62 x 5.42,1.01,56,62.6,cloud,Surface graining is not shown.,None,None,None,Light,None,None,None,35,15.5,41,43,2.50-2.69,India,58,0,59.9,-1,,0.5
14732441,1513456066,41082-22,Round,2.62,D,VS1,EX,EX,EX,None,GIA,None,None,20500,53710,-31,14145,37060,67,4,5,4,0,0,8.77 x 8.72 x 5.45,1.01,58,62.3,"crystal, pinpoint",Additional pinpoints are not shown. A cloud is not shown.,Light,None,V Light,None,None,None,None,36,15.5,40.6,43,2.50-2.69,India,82,0,96,-4,surplus,-4
14812734,6515552356,41103-11,Round,2.5,D,VS1,EX,EX,EX,None,GIA,None,None,20500,51250,-29,14555,36388,53,2,5,4,0,0,8.66 x 8.60 x 5.38,1.01,57,62.3,"crystal, pinpoint, needle",Additional pinpoints are not shown.,V Light,None,Light,Light,None,None,None,36,15.5,40.6,42.5,2.50-2.69,India,82,0,96,-4,surplus,-4
14767826,2516510449,41101-8,Round,2.65,D,VS1,EX,EX,EX,None,GIA,None,None,20500,54325,-29,14555,38571,60,5,5,4,0,0,8.79 x 8.73 x 5.50,1.01,59,62.7,"cloud, feather","Additional clouds, pinpoints and surface graining are not shown.",V Light,None,Light,Light,None,None,V Light,36,15,41,43.5,2.50-2.69,India,82,0,96,-4,surplus,-4
13925012,2504568281,31198-45,Round,2.5,D,VS1,EX,EX,EX,None,GIA,None,None,20500,51250,-29,14555,36388,202,2,5,4,0,0,8.65 x 8.62 x 5.41,1,57,62.6,"crystal, feather, needle",Pinpoints are not shown. Clouds are not shown.,None,None,Light,Light,None,None,None,35.5,15.5,41,43.5,2.50-2.69,India,82,0,96,-4,surplus,-4
14812730,7518542158,41101-14,Round,2.5,D,VS2,EX,EX,EX,None,GIA,None,None,17500,43750,-30,12250,30626,53,1,3,1,1,1,8.66 x 8.60 x 5.42,1.01,55,62.8,"crystal, knot, feather, cloud","Pinpoints, additional clouds and surface graining are not shown.",V Light,None,Light,Light,Light,None,None,36.5,16.5,40.6,42.5,2.50-2.69,India,118,2,205.3,0,,-4
13160953,5493753948,31139-138,Round,2.52,E,IF,EX,EX,EX,None,GIA,None,None,27000,68040,-34,17820,44907,308,1,1,1,0,0,8.78 x 8.72 x 5.40,1.01,59,61.7,,Surface graining is not shown. Minor details of polish are not shown.,None,None,None,None,None,None,None,32.5,13,41.8,44.5,2.50-2.69,India,37,0,308,-1,,0.5
14900308,1517607941,41101-27,Round,2.5,F,VS1,EX,EX,EX,None,GIA,None,None,17500,43750,-26,12950,32375,40,3,4,1,0,0,8.64 x 8.58 x 5.39,1.01,58,62.6,"crystal, feather, cloud, indented_natural, natural",Additional clouds are not shown. Pinpoints are not shown.,None,V Light,Light,Light,None,None,V Light,36,15.5,40.6,43,2.50-2.69,India,214,0,40,-1,surplus,-4
14767821,2517492384,41102-2,Round,2.5,G,VVS2,EX,EX,EX,None,GIA,None,None,16500,41250,-26,12210,30526,60,3,11,1,0,0,8.63 x 8.56 x 5.46,1.01,56,63.6,"needle, cloud, natural, extra_facet",Pinpoints are not shown.,V Light,None,None,Light,None,None,None,36.5,16.5,41,43.5,2.50-2.69,India,169,0,59.9,-1,surplus,-1
14608409,1513344156,41045-20,Round,2.5,G,VS1,EX,EX,EX,None,GIA,None,None,15000,37500,-23,11550,28875,84,3,7,1,0,0,8.64 x 8.58 x 5.39,1.01,59,62.6,"feather, cloud, pinpoint",Additional pinpoints are not shown.,None,None,Light,Light,None,None,None,36,15,41,43.5,2.50-2.69,India,291,0,83.9,-1,,0.5
14732442,2514465047,41082-31,Round,2.2,D,VVS1,EX,EX,EX,None,GIA,None,None,27500,60500,-39,16775,36906,67,1,7,1,0,0,8.30 x 8.24 x 5.17,1.01,58,62.5,"pinpoint, feather",-,None,None,Light,None,None,None,None,36,15,40.8,43,2.20-2.49,India,65,0,67.7,-1,,2
14732434,6512465058,41082-33,Round,2.2,D,VVS2,EX,EX,EX,None,GIA,None,None,23500,51700,-39,14335,31538,67,2,3,1,0,1,8.30 x 8.25 x 5.19,1.01,58,62.7,"cloud, pinpoint",-,None,None,V Light,Light,None,None,None,34.5,14.5,41.4,44,2.20-2.49,India,78,1,347.4,-0.5,,2
14732429,6512392346,41068-17,Round,2.2,D,VS1,EX,EX,EX,None,GIA,None,None,20500,45100,-37,12915,28414,67,2,2,1,0,0,8.30 x 8.25 x 5.17,1.01,56,62.5,"crystal, feather, pinpoint",Additional pinpoints are not shown.,V Light,V Light,Light,Light,None,None,None,35.5,15.5,40.6,43,2.20-2.49,India,92,1.8,204,-0.5,,2.5
14812737,7516510383,41082-59,Round,2.01,D,IF,EX,EX,EX,None,GIA,None,None,33000,66330,-39,20130,40461,53,3,6,2,0,0,8.05 x 8.00 x 5.03,1.01,59,62.7,,Minor details of polish are not shown.,None,None,None,None,None,None,None,35,14.5,41.4,44,2.00-2.19,India,73,0.8,788.7,-1.5,,8
14900392,6511591607,41082-85,Round,2.03,D,IF,EX,EX,EX,None,GIA,None,None,33000,66990,-39,20130,40864,3,4,6,2,0,0,8.11 x 8.05 x 5.05,1.01,58,62.5,,Minor details of polish are not shown.,None,None,None,None,None,None,None,34.5,14.5,41.6,44,2.00-2.19,India,73,0.8,788.7,-1.5,,8
15276352,7516854912,41139-18,Round,2.02,D,VVS2,EX,EX,EX,Strong,GIA,None,None,23500,47470,-56,10340,20887,3,2,14,1,0,0,8.11 x 8.08 x 5.06,1,56,62.4,"pinpoint, cloud",Internal graining is not shown.,None,None,None,Light,None,N/A,None,34,14.5,41.4,44,2.00-2.19,India,212,4.1,41.5,2,needs,8
14812726,2514521929,41099-24,Round,2,D,VS1,EX,EX,EX,None,GIA,None,None,20500,41000,-41,12095,24190,53,1,9,3,2,2,8.03 x 7.97 x 5.06,1.01,57,63.2,"crystal, indented_natural, cloud, pinpoint, natural, extra_facet",Additional clouds are not shown. Additional pinpoints are not shown.,None,None,Light,Light,None,None,None,36.5,16,41.2,43.5,2.00-2.19,India,202,2,271.9,-1,,12.5
