Category,Item Id,Cert Number,Stock Num,Shape,Carat,Carat Range,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales
Round | 2.50 - 2.99 | D | VVS1,14900401,2516571392,41082-75,Round,2.75,2.50 - 2.99,D,VVS1,EX,EX,EX,None,GIA,None,None,27500,75625,-21,21725,59745,4,3,8,1,1,1
Round | 2.50 - 2.99 | E | IF,13160953,5493753948,31139-138,Round,2.52,2.50 - 2.99,E,IF,EX,EX,EX,None,GIA,None,None,27000,68040,-34,17820,44907,310,1,1,1,0,0
Round | 2.50 - 2.99 | D | VVS2,14767827,2516492187,41101-2,Round,2.51,2.50 - 2.99,D,VVS2,EX,EX,EX,None,GIA,None,None,23500,58985,-26,17390,43650,62,2,7,1,0,0
Round | 2.00 - 2.19 | D | IF,14900392,6511591607,41082-85,Round,2.03,2.00 - 2.19,D,IF,EX,EX,EX,None,GIA,None,None,33000,66990,-39,20130,40864,4,3,5,2,0,0
Round | 2.00 - 2.19 | D | IF,14812737,7516510383,41082-59,Round,2.01,2.00 - 2.19,D,IF,EX,EX,EX,None,GIA,None,None,33000,66330,-39,20130,40461,55,2,5,2,0,0
Round | 2.50 - 2.99 | D | VS1,14767826,2516510449,41101-8,Round,2.65,2.50 - 2.99,D,VS1,EX,EX,EX,None,GIA,None,None,20500,54325,-29,14555,38571,62,5,5,4,0,0
Round | 2.50 - 2.99 | F | VS1,14767824,2517510369,41102-4,Round,2.73,2.50 - 2.99,F,VS1,EX,EX,EX,None,GIA,None,None,17500,47775,-22,13650,37265,62,2,3,1,0,0
Round | 2.50 - 2.99 | D | VS1,14732441,1513456066,41082-22,Round,2.62,2.50 - 2.99,D,VS1,EX,EX,EX,None,GIA,None,None,20500,53710,-31,14145,37060,69,4,5,4,0,0
Round | 2.20 - 2.49 | D | VVS1,14732442,2514465047,41082-31,Round,2.2,2.20 - 2.49,D,VVS1,EX,EX,EX,None,GIA,None,None,27500,60500,-39,16775,36906,69,1,6,1,0,0
Round | 2.50 - 2.99 | D | VS1,13925012,2504568281,31198-45,Round,2.5,2.50 - 2.99,D,VS1,EX,EX,EX,None,GIA,None,None,20500,51250,-29,14555,36388,204,2,5,4,0,0
Round | 2.50 - 2.99 | D | VS1,14812734,6515552356,41103-11,Round,2.5,2.50 - 2.99,D,VS1,EX,EX,EX,None,GIA,None,None,20500,51250,-29,14555,36388,55,2,5,4,0,0
Round | 2.50 - 2.99 | F | VS1,14900308,1517607941,41101-27,Round,2.5,2.50 - 2.99,F,VS1,EX,EX,EX,None,GIA,None,None,17500,43750,-26,12950,32375,42,3,4,1,0,0
Round | 2.20 - 2.49 | D | VVS2,14732434,6512465058,41082-33,Round,2.2,2.20 - 2.49,D,VVS2,EX,EX,EX,None,GIA,None,None,23500,51700,-39,14335,31538,69,2,3,1,0,1
Round | 2.00 - 2.19 | F | VVS1,15084601,1513752047,41102-28,Round,2.18,2.00 - 2.19,F,VVS1,EX,EX,EX,None,GIA,None,None,22000,47960,-36,14080,30694,27,9,11,1,1,1
Round | 2.50 - 2.99 | D | VS2,14812730,7518542158,41101-14,Round,2.5,2.50 - 2.99,D,VS2,EX,EX,EX,None,GIA,None,None,17500,43750,-30,12250,30626,55,1,3,1,1,1
Round | 2.50 - 2.99 | G | VVS2,14767821,2517492384,41102-2,Round,2.5,2.50 - 2.99,G,VVS2,EX,EX,EX,None,GIA,None,None,16500,41250,-26,12210,30526,62,3,13,1,0,0
Round | 2.50 - 2.99 | G | VS1,14608409,1513344156,41045-20,Round,2.5,2.50 - 2.99,G,VS1,EX,EX,EX,None,GIA,None,None,15000,37500,-23,11550,28875,86,3,7,1,0,0
Round | 2.20 - 2.49 | D | VS1,14732429,6512392346,41068-17,Round,2.2,2.20 - 2.49,D,VS1,EX,EX,EX,None,GIA,None,None,20500,45100,-37,12915,28414,69,2,3,1,0,0
Round | 2.00 - 2.19 | E | VVS2,14812727,6515542121,41101-11,Round,2.01,2.00 - 2.19,E,VVS2,EX,EX,EX,None,GIA,None,None,21000,42210,-38,13020,26170,55,5,8,2,0,1
Round | 1.70 - 1.99 | D | IF,14767818,1518478716,41082-35,Round,1.83,1.70 - 1.99,D,IF,EX,EX,EX,None,GIA,None,None,21000,38430,-33,14070,25749,62,1,6,1,0,0
